Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares,Accesos TV por suscripción
2016,1,Jujuy,7.69,30.07,56418,49314,3974,209,2921,1152,4509,84849
2016,1,La Pampa,24.15,73.3,83364,72868,5872,308,4316,2588,7861,89605
2016,1,La Rioja,10.18,38.23,3777,33015,266,140,1955,65,2443,24225
2016,1,Mendoza,20.06,71.88,381118,333135,26845,1408,1973,609,2185,11618
2016,1,Misiones,9.6,35.26,115189,100687,8113,426,5963,1005,3694,121064
2016,1,Neuquén,16.27,54.66,101846,89023,7174,376,5273,1766,5938,11105
2016,1,Río Negro,20.64,67.09,145598,127267,10255,538,7538,775,2521,549
2016,1,Salta,10.35,42.75,139346,121802,9815,515,7214,1261,5213,170519
2016,1,San Juan,15.32,60.16,114113,99745,8038,422,5908,565,2219,42207
2016,1,San Luis,11.19,39.11,53797,47024,3789,199,2785,1139,3983,54984
2016,1,Santa Cruz,14.47,48.61,47233,41286,3327,175,2445,1652,5562,54419
2016,1,Santa Fe,21.72,69.06,741856,648454,52254,2742,38406,1783,5674,610811
2016,1,Santiago del Estero,6.9,27.79,64481,56363,4542,238,3338,1054,4251,9889
2016,1,Tierra del Fuego,25.11,84.69,38952,34047,2744,144,2017,2484,8395,38875
2016,1,Tucumán,13.17,53.16,211561,184925,14902,782,10952,801,3235,129189
2016,2,Buenos Aires,29.22,91.58,4916108,4280149,359598,18042,258319,1494,4904,2516810
2016,2,Capital Federal,51.66,121.27,1580199,1375781,115587,5799,83032,2347,6180,717928
2016,2,Catamarca,9.63,37.85,38551,33564,282,141,2026,74,2910,29641
2016,2,Chaco,8.92,33.37,103002,89678,7534,378,5412,816,3056,9432
2016,2,Chubut,20,65.24,115321,100403,8435,423,606,1261,4120,72833
2016,2,Córdoba,19.52,63.75,703322,612339,51446,2581,36956,2788,9115,1005624
2016,2,Corrientes,9.49,36.03,102444,89192,7493,376,5383,858,3261,92714
2016,2,Entre Ríos,16.88,56.44,225017,195908,16459,826,11824,1162,3890,15511
2016,2,Formosa,6.97,27.4,40743,35472,298,150,2141,793,3119,46382
2016,2,Jujuy,7.66,29.96,56381,49087,4124,207,2963,1158,4533,85293
2016,2,La Pampa,23.69,71.89,81939,71338,5994,301,4306,259,7865,89647
2016,2,La Rioja,10.17,38.19,37869,3297,277,139,199,654,2459,24385
2016,2,Mendoza,19.42,69.6,370071,322197,2707,1358,19446,609,2185,116159
2016,2,Misiones,9.19,33.73,110533,96234,8085,406,5808,1015,3731,122257
2016,2,Neuquén,15.75,52.92,98956,86155,7238,363,52,1765,5937,111025
2016,2,Río Negro,19.92,64.77,141053,122805,10318,518,7412,772,2514,54753
2016,2,Salta,10.31,42.56,139208,121199,10183,511,7315,129,5330,174345
2016,2,San Juan,14.37,56.4,107299,93418,7849,394,5638,567,2230,42414
2016,2,San Luis,11.03,38.53,53178,46299,389,195,2794,1118,3910,53963
2016,2,Santa Cruz,13.46,45.23,44254,3853,3237,162,2325,157,5286,51724
2016,2,Santa Fe,21.67,68.91,741843,645875,54264,2723,38981,1796,5715,615206
2016,2,Santiago del Estero,7.04,28.38,66024,57484,4829,242,3469,1056,4259,99076
2016,2,Tierra del Fuego,24.32,82.01,37976,33064,2778,139,1995,2433,8224,38086
2016,2,Tucumán,13.04,52.65,210228,183031,15378,772,11047,773,3123,124686
2016,3,Buenos Aires,28.33,88.63,4780187,4166450,341904,17491,254342,1497,4912,2521023
2016,3,Capital Federal,52.45,123.09,1605054,1398978,114802,5873,85401,2343,6170,716755
2016,3,Catamarca,9.68,38.05,3884,33853,2778,142,2067,743,2922,29763
2016,3,Chaco,8.88,33.23,102824,89623,7354,376,5471,78,2922,90191
2016,3,Chubut,20.41,66.58,118225,103046,8456,433,629,1259,4112,72693
2016,3,Córdoba,19.5,63.68,704433,613989,50385,2578,37481,2804,9166,1011257
2016,3,Corrientes,9.48,35.98,102558,89391,7335,375,5457,859,3263,92783
2016,3,Entre Ríos,16.81,56.22,224703,195853,16072,822,11956,1165,3900,155482
2016,3,Formosa,7.04,27.67,41233,35939,2949,151,2194,793,3119,46371
2016,3,Jujuy,7.67,29.98,56581,49316,4047,207,3011,1148,4493,84547
2016,3,La Pampa,23.88,72.49,8281,72178,5923,303,4406,2625,7973,90884
2016,3,La Rioja,10.17,38.21,38014,33133,2719,139,2023,66,2481,24599
2016,3,Mendoza,19.77,70.85,377803,329297,27022,1382,20102,61,2188,116331
2016,3,Misiones,9.17,33.68,11069,96478,7917,405,589,1017,3738,122505
2016,3,Neuquén,16.14,54.22,101751,88687,7278,372,5414,1764,5931,110917
2016,3,Río Negro,20.25,65.84,143888,125414,10292,526,7656,769,2503,54503
2016,3,Salta,10.31,42.57,139723,121784,9994,511,7434,1276,5273,172479
2016,3,San Juan,15.01,58.92,112398,97968,8039,411,598,567,2227,42357
2016,3,San Luis,11.12,38.84,53793,46886,3848,197,2862,112,3918,54078
2016,3,Santa Cruz,13.51,45.4,44728,38985,3199,164,238,1554,5232,51191
2016,3,Santa Fe,21.57,68.6,739999,644988,52929,2708,39374,1794,5710,614627
2016,3,Santiago del Estero,6.97,28.1,65541,57126,4688,240,3487,1056,4259,9907
2016,3,Tierra del Fuego,24.69,83.27,38815,33832,2776,142,2065,2466,8334,38592
2016,3,Tucumán,13.08,52.81,211547,184386,15131,774,11256,777,3140,125384
2016,4,Buenos Aires,28.86,90.08,4881863,4268288,343324,18011,25224,1506,4941,2535921
2016,4,Capital Federal,52.87,125.25,1618260,1414870,113807,597,83613,2329,6133,712478
2016,4,Catamarca,9.61,37.79,38665,33805,2719,143,1998,752,2958,30124
2016,4,Chaco,8.79,32.9,102077,89247,7179,377,5274,765,2863,88363
2016,4,Chubut,21.07,68.73,122592,107185,8621,452,6334,1259,4114,72721
2016,4,Córdoba,19.44,63.5,704306,615786,49531,2598,36391,2798,9148,1009280
2016,4,Corrientes,9.41,35.72,102049,89223,7177,376,5273,865,3288,9349
2016,4,Entre Ríos,16.65,55.69,223126,195082,15692,823,11529,1168,3911,155923
2016,4,Formosa,7.01,27.54,41139,35968,2893,152,2126,792,3113,46293
2016,4,Jujuy,7.62,29.81,56418,49327,3968,208,2915,111,4344,81754
2016,4,La Pampa,23.99,72.81,83364,72886,5863,308,4307,2905,8824,100574
2016,4,La Rioja,10.07,37.83,3777,33023,2656,139,1952,69,2594,25719
2016,4,Mendoza,19.89,71.28,381118,333217,26803,1406,19692,613,2200,116997
2016,4,Misiones,9.52,34.94,115189,100711,8101,425,5952,1023,3760,12322
2016,4,Neuquén,16.1,54.08,101846,89046,7162,376,5262,1762,5926,110825
2016,4,Río Negro,20.42,66.39,145598,127299,10239,537,7523,762,2480,54014
2016,4,Salta,10.25,42.32,139346,121832,98,514,72,1279,5287,172942
2016,4,San Juan,15.19,59.65,114113,99771,8025,421,5896,533,2095,39847
2016,4,San Luis,11.08,38.72,53797,47036,3783,198,278,1125,3937,54337
2016,4,Santa Cruz,14.17,47.62,47233,41297,3322,174,244,1545,5204,50923
2016,4,Santa Fe,21.61,68.73,742944,649567,52249,2741,38387,1801,5733,61712
2016,4,Santiago del Estero,6.84,27.57,64481,56376,4535,238,3332,1045,4214,98021
2016,4,Tierra del Fuego,24.61,83.01,38952,34056,2739,144,2013,2473,8359,38707
2016,4,Tucumán,13.04,52.65,211561,184971,14878,781,10931,77,3111,124208
2017,1,Buenos Aires,29.04,91.2,4872542,4259081,343205,18007,252249,1523,4743,2572848
2017,1,Capital Federal,52.62,123.37,1608800,1406249,113318,5946,83287,2329,5524,708805
2017,1,Catamarca,9.68,38.05,38665,33797,2723,143,2002,736,2891,29655
2017,1,Chaco,8.86,33.16,102077,89226,719,377,5284,757,2832,8792
2017,1,Chubut,21.36,69.67,122592,107157,8635,453,6347,1246,4065,72838
2017,1,Córdoba,19.56,63.87,702744,614267,49499,2597,36381,2816,9197,1022544
2017,1,Corrientes,9.47,35.97,102049,89201,7188,377,5283,858,3259,93332
2017,1,Entre Ríos,16.77,56.1,223126,195034,15716,825,11551,1195,3998,160444
2017,1,Formosa,7.06,27.73,41139,35959,2898,152,213,828,3253,48699
2017,1,Jujuy,7.69,30.07,56418,49314,3974,209,2921,1133,4431,84116
2017,1,La Pampa,24.15,73.3,83364,72868,5872,308,4316,2934,8904,10139
2017,1,La Rioja,10.18,38.23,3777,33015,266,140,1955,649,2437,24415
2017,1,Mendoza,20.06,71.88,381118,333135,26845,1408,1973,607,2176,116672
2017,1,Misiones,9.6,35.26,115189,100687,8113,426,5963,1016,3730,123346
2017,1,Neuquén,16.27,54.66,101846,89023,7174,376,5273,1745,5861,110781
2017,1,Río Negro,20.64,67.09,145598,127267,10255,538,7538,734,2385,52481
2017,1,Salta,10.35,42.75,139346,121802,9815,515,7214,1252,5167,171113
2017,1,San Juan,15.32,60.16,114113,99745,8038,422,5908,576,2260,40819
2017,1,San Luis,11.19,39.11,53797,47024,3789,199,2785,1172,4096,57104
